                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.58546,                0.73199,                0.34733,                0.87249,                0.93941,                0.86879,                0.91786,                0.79602,                0.93514,                0.86388,                0.91004,                0.70078,                0.65271,                0.84272,                0.40926,                0.87951,             8.2006e-05,             8.2006e-05,             8.2006e-05
                     79,                0.58531,                0.72596,                 0.3432,                0.87102,                0.93262,                0.86978,                0.91742,                0.79318,                0.94651,                0.85455,                0.90898,                0.70493,                0.65408,                0.84314,                0.40558,                 0.8819,             7.8591e-05,             7.8591e-05,             7.8591e-05
                     80,                0.58148,                0.72529,                0.34328,                0.87309,                 0.9215,                0.88518,                0.91662,                0.79519,                0.92954,                0.87365,                0.91166,                0.70526,                0.65479,                0.84493,                0.40248,                0.87921,             7.5175e-05,             7.5175e-05,             7.5175e-05
                     81,                 0.5752,                 0.7161,                0.33643,                0.86652,                0.93593,                0.86315,                0.91318,                0.79451,                 0.9373,                0.86539,                0.90599,                0.70327,                0.64954,                0.84131,                0.40657,                0.87685,              7.176e-05,              7.176e-05,              7.176e-05
                     82,                0.57177,                0.71262,                0.33571,                0.86823,                  0.942,                0.86142,                0.91513,                0.79653,                0.94404,                0.86048,                0.90864,                0.70074,                0.65321,                0.84867,                0.40595,                0.87871,             6.8344e-05,             6.8344e-05,             6.8344e-05
                     83,                0.57008,                0.71069,                0.33362,                0.86703,                 0.9409,                0.86934,                0.91853,                0.80014,                0.94162,                0.87144,                0.91086,                0.70529,                0.64806,                0.84895,                0.39988,                 0.8794,             6.4929e-05,             6.4929e-05,             6.4929e-05
                     84,                0.56507,                0.71362,                0.32824,                0.86851,                0.94199,                0.87121,                0.91709,                0.79613,                0.93988,                0.86984,                0.91211,                0.70741,                0.64773,                0.85255,                0.40037,                0.87774,             6.1514e-05,             6.1514e-05,             6.1514e-05
                     85,                0.56561,                0.71581,                0.32775,                0.86501,                0.93664,                0.87259,                0.91733,                0.79921,                0.93744,                0.86923,                0.91074,                0.70473,                0.64651,                0.84777,                0.40179,                0.87653,             5.8098e-05,             5.8098e-05,             5.8098e-05
                     86,                0.55881,                0.70374,                0.32529,                0.86463,                0.93607,                0.87665,                0.91674,                0.80237,                0.93107,                0.87367,                 0.9119,                0.70669,                0.64407,                0.84948,                0.40176,                0.87451,             5.4683e-05,             5.4683e-05,             5.4683e-05
                     87,                0.55938,                0.69826,                0.32422,                 0.8636,                0.93665,                0.87337,                0.91844,                0.80004,                0.93379,                0.87119,                0.91084,                0.70573,                0.64231,                0.84704,                 0.3985,                0.87413,             5.1267e-05,             5.1267e-05,             5.1267e-05
                     88,                0.55984,                0.70254,                0.32755,                0.86539,                0.93662,                0.87513,                0.91661,                0.79776,                0.93532,                  0.868,                0.90894,                 0.7049,                0.64276,                0.85028,                0.39856,                0.87532,             4.7852e-05,             4.7852e-05,             4.7852e-05
                     89,                0.55326,                0.69686,                0.32078,                0.86299,                0.94172,                0.87829,                0.91791,                0.79898,                0.94155,                0.86921,                0.91029,                0.70697,                0.64137,                0.85139,                0.39838,                0.87515,             4.4436e-05,             4.4436e-05,             4.4436e-05
                     90,                0.55709,                0.70052,                  0.316,                0.86265,                0.93346,                0.87912,                0.92026,                0.80212,                0.94251,                0.86162,                0.91187,                0.70884,                0.63964,                 0.8489,                0.39815,                0.87383,              4.102e-05,              4.102e-05,              4.102e-05
                     91,                0.53623,                0.65058,                0.28364,                 0.8538,                0.93815,                0.87135,                0.91885,                0.79953,                0.93687,                0.86149,                0.90882,                0.70452,                0.64325,                0.86494,                0.40098,                0.87395,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     92,                0.53005,                0.65179,                0.27669,                0.85432,                0.94722,                0.86221,                 0.9173,                0.79903,                0.94451,                0.85484,                0.90759,                0.70453,                0.64193,                0.85608,                 0.3969,                0.87236,             3.4189e-05,             3.4189e-05,             3.4189e-05
                     93,                0.52386,                0.64882,                 0.2738,                0.85009,                0.93791,                0.87812,                0.91963,                0.80205,                0.93235,                0.86831,                0.91019,                  0.708,                0.64237,                0.85524,                0.39637,                0.87402,             3.0774e-05,             3.0774e-05,             3.0774e-05
                     94,                0.52474,                0.65248,                0.27164,                0.84841,                0.92862,                0.88286,                0.92043,                0.80455,                0.92311,                0.87533,                 0.9105,                0.70815,                 0.6404,                0.86068,                0.39306,                0.87111,             2.7358e-05,             2.7358e-05,             2.7358e-05
                     95,                0.51841,                0.64181,                0.26901,                0.84913,                0.94762,                0.86673,                0.92101,                0.80438,                0.94957,                0.85764,                0.91032,                  0.709,                0.63936,                0.86135,                0.38922,                0.87106,             2.3943e-05,             2.3943e-05,             2.3943e-05
                     96,                0.51679,                 0.6432,                0.26809,                0.84665,                0.94928,                0.86932,                0.92161,                0.80531,                0.94856,                0.86473,                0.91119,                0.71036,                0.63785,                0.86171,                0.39002,                0.87107,             2.0528e-05,             2.0528e-05,             2.0528e-05
                     97,                0.51306,                0.64857,                0.26507,                0.84642,                0.94371,                0.87326,                0.92173,                0.80432,                0.94085,                0.86597,                0.91216,                0.70859,                0.63737,                0.85969,                0.39178,                0.87184,             1.7112e-05,             1.7112e-05,             1.7112e-05
                     98,                0.51086,                0.64029,                0.26683,                0.84651,                 0.9329,                 0.8819,                0.92152,                0.80408,                0.92803,                0.87689,                0.91166,                0.71075,                0.63738,                0.86446,                0.39333,                0.87158,             1.3697e-05,             1.3697e-05,             1.3697e-05
                     99,                 0.5118,                0.63757,                0.26352,                 0.8449,                0.93266,                0.88197,                 0.9207,                0.80511,                0.92805,                0.87551,                0.90915,                0.70862,                0.63791,                0.86151,                0.39307,                0.87157,             1.0281e-05,             1.0281e-05,             1.0281e-05
                    100,                0.50715,                0.64252,                0.26228,                0.84261,                0.93462,                0.88112,                0.92106,                0.80478,                0.92868,                0.87591,                0.91015,                0.70885,                0.63711,                0.86571,                0.39288,                0.87124,             6.8655e-06,             6.8655e-06,             6.8655e-06
