                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.1442,                 1.4901,                0.91385,                0.84161,                0.67534,                0.40384,                0.44391,                0.31302,                0.62392,                0.36167,                0.38694,                0.24137,                 1.2606,                 1.6099,                 1.0918,                0.85363,             0.00019835,             0.00019835,             0.00019835
                     39,                 1.1352,                 1.4775,                0.91909,                   0.85,                0.66911,                0.39659,                 0.4355,                0.31103,                0.60065,                0.35844,                0.36887,                0.23477,                 1.2444,                 1.6058,                 1.0876,                0.85198,             0.00019525,             0.00019525,             0.00019525
                     40,                  1.185,                  1.527,                0.92763,                  0.846,                0.69885,                0.37565,                0.43542,                0.31017,                0.65877,                0.33128,                0.36691,                0.22371,                 1.2682,                 1.6397,                  1.092,                0.85408,             0.00019215,             0.00019215,             0.00019215
                     41,                 1.1198,                 1.4524,                0.86872,                0.84326,                0.72648,                0.37185,                0.44151,                0.30722,                0.65267,                0.34048,                 0.3762,                0.23898,                 1.3188,                 1.6933,                 1.0955,                0.86059,             0.00018905,             0.00018905,             0.00018905
                     42,                 1.1267,                 1.4794,                0.89118,                 0.8422,                0.70805,                0.37046,                0.42923,                0.30662,                0.64619,                0.33033,                0.36465,                0.22897,                  1.278,                 1.6708,                 1.0885,                0.85673,             0.00018595,             0.00018595,             0.00018595
                     43,                 1.0977,                 1.4557,                0.84043,                0.84278,                0.63838,                0.38789,                 0.4427,                 0.3104,                0.69384,                0.32933,                0.37134,                0.22605,                  1.252,                 1.6075,                 1.0949,                0.85512,             0.00018285,             0.00018285,             0.00018285
                     44,                 1.0762,                 1.4499,                0.83105,                0.84252,                0.60114,                0.43017,                0.45965,                0.31974,                0.53637,                0.38728,                0.39132,                0.23563,                 1.2977,                 1.6823,                 1.0815,                0.85598,             0.00017976,             0.00017976,             0.00017976
                     45,                  1.148,                 1.5015,                0.87517,                0.84026,                0.68946,                0.41345,                0.46702,                0.32593,                0.62717,                0.36963,                0.39782,                0.23544,                 1.3082,                 1.6996,                 1.0694,                0.85492,             0.00017666,             0.00017666,             0.00017666
                     46,                 1.1031,                 1.4643,                 0.8724,                0.84587,                0.69012,                0.42162,                0.47975,                0.33272,                0.63517,                0.39089,                 0.4185,                0.24903,                  1.289,                 1.5743,                 1.0701,                0.85526,             0.00017356,             0.00017356,             0.00017356
                     47,                 1.0792,                 1.4204,                0.82418,                0.83969,                0.70012,                0.41646,                0.47743,                0.32961,                0.67474,                0.36606,                0.40575,                0.24719,                 1.2878,                 1.5707,                 1.0755,                0.85453,             0.00017046,             0.00017046,             0.00017046
                     48,                 1.0962,                 1.4498,                0.81156,                0.83516,                0.73044,                 0.4075,                0.47383,                0.33482,                0.67172,                 0.3579,                0.39051,                0.23638,                 1.2763,                 1.6401,                 1.0528,                0.85429,             0.00016736,             0.00016736,             0.00016736
                     49,                 1.1087,                 1.4157,                0.83488,                0.83477,                0.69426,                0.42371,                0.47943,                0.33745,                0.67983,                0.36488,                0.41095,                0.24298,                 1.2432,                 1.5419,                 1.0508,                0.85121,             0.00016426,             0.00016426,             0.00016426
                     50,                 1.0765,                 1.4426,                0.82974,                 0.8351,                 0.6643,                0.42911,                0.48132,                0.33364,                0.67972,                0.35099,                0.40701,                 0.2429,                   1.23,                 1.5891,                  1.058,                0.84994,             0.00016116,             0.00016116,             0.00016116
                     51,                 1.0625,                 1.3794,                0.77482,                0.83694,                0.69037,                0.42812,                0.48854,                 0.3441,                0.62875,                0.38332,                0.41374,                0.25048,                 1.2148,                 1.5727,                 1.0325,                0.84774,             0.00015807,             0.00015807,             0.00015807
                     52,                 1.0803,                 1.4388,                0.82216,                0.83619,                0.57892,                 0.4618,                0.49579,                0.35173,                0.68353,                0.37015,                0.41901,                 0.2505,                 1.2412,                 1.5674,                 1.0207,                0.84955,             0.00015497,             0.00015497,             0.00015497
                     53,                  1.038,                 1.3604,                0.76408,                0.83011,                0.55742,                0.46964,                0.50508,                0.35695,                0.67534,                0.36455,                0.41434,                0.24417,                 1.2171,                 1.5773,                 1.0132,                0.84705,             0.00015187,             0.00015187,             0.00015187
                     54,                 1.0129,                 1.3552,                 0.7486,                0.82548,                0.58055,                 0.4777,                0.50965,                0.36173,                0.50079,                0.42006,                0.42553,                0.25091,                 1.2137,                 1.5578,                 1.0069,                0.84678,             0.00014877,             0.00014877,             0.00014877
                     55,                 1.0048,                 1.3173,                0.75342,                0.82978,                0.63689,                0.47655,                 0.5051,                0.35319,                0.56559,                  0.425,                 0.4267,                0.25198,                 1.2433,                 1.6108,                 1.0176,                0.84924,             0.00014567,             0.00014567,             0.00014567
                     56,                 1.0927,                 1.3758,                0.79461,                0.83292,                0.65517,                0.46133,                0.50664,                0.34616,                0.56186,                0.39292,                0.40671,                0.22721,                 1.2655,                 1.7501,                 1.0296,                0.85057,             0.00014257,             0.00014257,             0.00014257
