                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.69346,                 0.8571,                0.43265,                0.91711,                0.88635,                0.81248,                0.85994,                0.73154,                0.88302,                0.80708,                0.85414,                0.66281,                0.68585,                0.86613,                0.39357,                0.89709,             0.00019525,             0.00019525,             0.00019525
                     40,                0.69106,                0.85973,                0.43246,                0.91589,                0.90272,                0.77226,                 0.8527,                0.72572,                0.90706,                0.76436,                0.85016,                0.66488,                0.68665,                 0.8693,                0.39494,                0.89798,             0.00019215,             0.00019215,             0.00019215
                     41,                0.68433,                0.85633,                0.42835,                0.91559,                0.88277,                0.83185,                0.90354,                0.77463,                0.87888,                0.82789,                0.90009,                0.71708,                0.68637,                0.86908,                0.39915,                0.90206,             0.00018905,             0.00018905,             0.00018905
                     42,                 0.6844,                0.85422,                0.43234,                0.91525,                0.90077,                0.79939,                0.89362,                0.76193,                0.89757,                0.79625,                 0.8915,                0.69837,                0.69151,                0.85494,                0.39657,                0.89644,             0.00018595,             0.00018595,             0.00018595
                     43,                0.67903,                0.85614,                0.42081,                 0.9128,                0.89301,                0.78571,                0.86546,                0.73556,                0.89157,                0.78436,                0.86678,                0.67745,                0.68668,                0.85695,                0.39429,                0.89725,             0.00018285,             0.00018285,             0.00018285
                     44,                0.68219,                0.84939,                0.41952,                0.91306,                0.93882,                 0.7673,                0.87405,                0.74007,                0.93712,                0.76472,                0.87358,                0.68722,                0.67562,                0.85769,                0.39838,                0.89277,             0.00017976,             0.00017976,             0.00017976
                     45,                 0.6763,                0.83695,                0.41373,                0.90925,                0.90084,                0.80447,                0.88472,                0.75273,                0.90108,                0.80492,                0.88466,                0.69938,                0.67927,                0.86076,                0.38677,                0.89349,             0.00017666,             0.00017666,             0.00017666
                     46,                0.67121,                0.83882,                0.41106,                0.90829,                 0.9158,                0.80612,                0.87548,                0.74465,                0.90968,                0.80318,                0.87317,                0.68992,                0.67818,                0.85453,                0.38412,                0.89192,             0.00017356,             0.00017356,             0.00017356
                     47,                0.66605,                0.82667,                0.40882,                0.90781,                0.89666,                0.79521,                0.86501,                0.73954,                0.89336,                0.79224,                0.86163,                0.67938,                0.67103,                  0.864,                0.38464,                0.88728,             0.00017046,             0.00017046,             0.00017046
                     48,                0.66226,                0.82736,                0.40625,                0.90648,                0.88511,                0.81524,                0.86511,                0.74174,                0.88629,                0.81994,                 0.8653,                0.67801,                0.67529,                0.86842,                0.38639,                 0.8944,             0.00016736,             0.00016736,             0.00016736
                     49,                0.66309,                0.82934,                0.39963,                0.90489,                0.89567,                0.81444,                0.85422,                0.73434,                0.89236,                0.81249,                0.85431,                0.67298,                0.66743,                0.85175,                0.37843,                0.89164,             0.00016426,             0.00016426,             0.00016426
                     50,                0.66377,                0.83219,                0.40349,                 0.9047,                0.89271,                0.81026,                0.85975,                0.73681,                0.88765,                0.80534,                0.85858,                 0.6768,                0.66605,                0.85692,                0.37745,                0.89566,             0.00016116,             0.00016116,             0.00016116
                     51,                0.65793,                0.82504,                0.40042,                 0.9053,                 0.9183,                0.82836,                0.87237,                0.75182,                0.91641,                 0.8264,                0.87147,                0.68862,                0.66711,                0.86364,                0.37198,                0.89063,             0.00015807,             0.00015807,             0.00015807
                     52,                0.65838,                0.81801,                0.39681,                0.90351,                0.88713,                0.83071,                0.86878,                0.73904,                0.88236,                 0.8293,                0.86806,                0.67881,                0.66621,                0.84321,                0.37383,                0.88846,             0.00015497,             0.00015497,             0.00015497
                     53,                0.64946,                0.81021,                0.38932,                0.90114,                0.91179,                 0.8291,                 0.8765,                0.75354,                0.91811,                0.81888,                0.87497,                0.69177,                0.66589,                0.84169,                0.37013,                0.88649,             0.00015187,             0.00015187,             0.00015187
                     54,                0.64302,                 0.8094,                0.38233,                0.89594,                0.88544,                0.82108,                0.86955,                0.74727,                0.88264,                0.81836,                0.86758,                0.68235,                0.65814,                0.85394,                0.37062,                0.88455,             0.00014877,             0.00014877,             0.00014877
                     55,                0.64368,                0.80317,                0.38363,                0.89803,                 0.8784,                0.81519,                0.87326,                0.75085,                0.87565,                0.81241,                0.87103,                 0.6939,                0.65659,                0.85841,                0.36686,                0.88677,             0.00014567,             0.00014567,             0.00014567
                     56,                0.63663,                0.80521,                0.37724,                0.89462,                0.90889,                0.81705,                0.86551,                0.74181,                0.90584,                0.81343,                0.85934,                0.68615,                0.65701,                0.85496,                0.36605,                0.88209,             0.00014257,             0.00014257,             0.00014257
                     57,                0.63476,                0.80191,                0.37729,                0.89564,                0.83988,                0.89434,                0.88944,                0.76737,                 0.8411,                0.89524,                0.89135,                0.71162,                0.65065,                0.85117,                0.35842,                0.87682,             0.00013947,             0.00013947,             0.00013947
                     58,                 0.6294,                0.79904,                 0.3753,                0.89682,                0.90155,                0.82247,                 0.8672,                0.74774,                 0.9025,                0.82292,                 0.8675,                0.69036,                0.65282,                0.85737,                0.36415,                0.88155,             0.00013637,             0.00013637,             0.00013637
                     59,                0.62349,                0.78708,                0.36661,                0.89496,                 0.9162,                0.83145,                0.87191,                 0.7534,                0.91569,                0.83007,                0.87176,                0.68767,                0.65683,                 0.8507,                0.36403,                0.88795,             0.00013328,             0.00013328,             0.00013328
