                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.71097,                0.88961,                0.45967,                0.92179,                 0.9145,                0.79067,                0.84625,                0.71369,                0.90183,                0.78104,                0.83294,                0.64199,                0.70822,                0.87174,                0.40863,                0.90818,             0.00019215,             0.00019215,             0.00019215
                     41,                0.70471,                0.88222,                  0.447,                0.92092,                0.91743,                0.79247,                0.84843,                0.71356,                0.93406,                0.76774,                0.83406,                0.64333,                0.70167,                0.86953,                0.40273,                0.91257,             0.00018905,             0.00018905,             0.00018905
                     42,                0.70086,                0.87687,                  0.448,                0.91705,                0.88877,                0.79852,                0.84338,                0.70682,                0.88738,                0.79373,                  0.827,                0.63414,                0.69651,                0.87042,                0.40193,                0.90545,             0.00018595,             0.00018595,             0.00018595
                     43,                0.70095,                0.87958,                  0.445,                 0.9197,                0.91719,                0.79649,                0.84576,                0.70591,                0.91655,                0.79646,                0.83857,                0.64466,                0.70182,                0.87732,                 0.3994,                0.90893,             0.00018285,             0.00018285,             0.00018285
                     44,                 0.6944,                 0.8655,                0.43489,                0.91462,                0.89909,                0.79101,                 0.8347,                 0.7038,                0.89563,                0.78928,                0.82488,                0.62896,                0.69406,                0.86642,                0.40046,                0.90365,             0.00017976,             0.00017976,             0.00017976
                     45,                0.69076,                0.87377,                0.43489,                0.91602,                0.85198,                 0.7999,                0.85133,                0.71923,                0.85731,                0.79643,                0.84337,                0.63947,                0.68995,                0.87286,                0.39362,                0.90394,             0.00017666,             0.00017666,             0.00017666
                     46,                0.68574,                0.85948,                0.42929,                0.91086,                0.91156,                 0.7817,                0.84468,                0.71307,                 0.9123,                0.78199,                0.83771,                 0.6426,                0.68846,                0.86475,                0.39388,                0.90004,             0.00017356,             0.00017356,             0.00017356
                     47,                0.69139,                0.86215,                0.43043,                0.90989,                 0.8637,                0.80659,                 0.8506,                0.72782,                0.86306,                0.79588,                0.84076,                 0.6446,                0.67886,                0.85714,                0.39302,                0.89704,             0.00017046,             0.00017046,             0.00017046
                     48,                0.67876,                0.85621,                0.42274,                0.90932,                0.93624,                0.78628,                0.85112,                0.72102,                 0.9275,                0.77698,                0.84181,                0.64467,                0.68397,                0.87054,                0.39155,                0.90034,             0.00016736,             0.00016736,             0.00016736
                     49,                0.67778,                0.84864,                0.41462,                0.90803,                0.92467,                0.78596,                0.84349,                0.72083,                0.92218,                0.77142,                0.83148,                0.64296,                0.68437,                0.86684,                0.38939,                0.89531,             0.00016426,             0.00016426,             0.00016426
                     50,                0.67354,                0.84421,                 0.4154,                0.90528,                0.83786,                0.79243,                0.83624,                0.71143,                 0.8348,                0.78813,                0.81966,                0.63583,                0.67622,                0.86311,                0.39317,                0.89752,             0.00016116,             0.00016116,             0.00016116
                     51,                0.67777,                0.85541,                0.41769,                0.90819,                 0.8552,                0.81899,                0.85431,                0.72457,                0.84936,                0.81236,                0.84162,                0.65099,                0.67905,                0.87026,                0.38695,                0.89578,             0.00015807,             0.00015807,             0.00015807
                     52,                0.67171,                0.84793,                0.40973,                0.90742,                0.89122,                  0.789,                0.84695,                0.71344,                0.88566,                0.77982,                0.83363,                0.63853,                 0.6755,                0.85528,                0.38158,                0.89174,             0.00015497,             0.00015497,             0.00015497
                     53,                0.66596,                0.84557,                0.40759,                0.90392,                0.85255,                0.79742,                0.86359,                0.72814,                0.83361,                  0.789,                0.84407,                0.64901,                0.67549,                0.86092,                0.38204,                0.89425,             0.00015187,             0.00015187,             0.00015187
                     54,                0.66015,                0.83119,                0.39935,                0.90164,                0.87423,                0.80336,                0.85612,                0.72684,                0.86801,                0.79566,                0.84418,                0.64919,                0.67823,                0.86468,                0.37955,                 0.9007,             0.00014877,             0.00014877,             0.00014877
